scenic-api     |  * Restarting with stat                                                                                                                                                         
scenic-worker  | [2026-01-30 18:27:34,712: WARNING/ForkPoolWorker-1]   > Progress: 50% (71020/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:35] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:38] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:39,256: WARNING/ForkPoolWorker-1]   > Progress: 60% (85224/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:41] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:43,416: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:43,718: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:43,842: WARNING/ForkPoolWorker-1]   > Progress: 70% (99428/142046)                                                                                            
scenic-worker  | [2026-01-30 18:27:43,963: WARNING/ForkPoolWorker-3]   > Extracted 62610 green area polygons.
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:44] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:44,711: WARNING/ForkPoolWorker-3] [Edge Sampling] Processing 133098 edges (buffer: 50.0m, interval: 20.0m)...
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:47] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:47,610: WARNING/ForkPoolWorker-3]   > Progress: 10% (13309/133098)
scenic-worker  | [2026-01-30 18:27:48,205: WARNING/ForkPoolWorker-1]   > Progress: 80% (113632/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:50] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:50,557: WARNING/ForkPoolWorker-3]   > Progress: 20% (26618/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:53] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:53,690: WARNING/ForkPoolWorker-3]   > Progress: 30% (39927/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:56] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:56,467: WARNING/ForkPoolWorker-1]   > Progress: 90% (127836/142046)
scenic-worker  | [2026-01-30 18:27:56,787: WARNING/ForkPoolWorker-3]   > Progress: 40% (53236/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:59] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:59,865: WARNING/ForkPoolWorker-3]   > Progress: 50% (66545/133098)
scenic-worker  | [2026-01-30 18:28:00,648: WARNING/ForkPoolWorker-1]   > Progress: 100% (142040/142046)
scenic-worker  | [2026-01-30 18:28:00,651: WARNING/ForkPoolWorker-1] [Edge Sampling] Processed 142046 edges in 47.05s
scenic-worker  | [2026-01-30 18:28:00,734: WARNING/ForkPoolWorker-1]   > [Edge Sampling] Distribution: min=0.000, max=1.000, mean=0.770                                                          
scenic-worker  | [2026-01-30 18:28:00,734: WARNING/ForkPoolWorker-1]   > [Edge Sampling] Edges with green cost < 0.5: 25644/142046 (18.1%)
scenic-worker  | [2026-01-30 18:28:00,735: WARNING/ForkPoolWorker-1] [ScenicOrchestrator] Water processing disabled.                                                                             
scenic-worker  | [2026-01-30 18:28:00,735: WARNING/ForkPoolWorker-1] [ScenicOrchestrator] Social processing disabled.                                                                            
scenic-worker  | [2026-01-30 18:28:00,747: WARNING/ForkPoolWorker-1] [GraphBuilder] Processing elevation gradients (LOCAL mode)...                                                               
scenic-worker  | [2026-01-30 18:28:00,747: WARNING/ForkPoolWorker-1] [ElevationProcessor] LOCAL mode: fetching elevations for 65222 nodes...                                                     
scenic-worker  | [2026-01-30 18:28:00,772: WARNING/ForkPoolWorker-1] [DEMLoader] Bounding box requires 1 tile(s)
scenic-worker  | [2026-01-30 18:28:00,788: WARNING/ForkPoolWorker-1] [DEMLoader] Tile already exists: Copernicus_DSM_COG_10_N51_00_W002_00_DEM
scenic-worker  | [2026-01-30 18:28:00,825: WARNING/ForkPoolWorker-1] [DEMLoader] Batch lookup: 65222 coords across 1 tile(s)
scenic-worker  | [2026-01-30 18:28:01,549: WARNING/ForkPoolWorker-1] [DEMLoader] Retrieved 65222/65222 elevations
scenic-worker  | [2026-01-30 18:28:01,575: WARNING/ForkPoolWorker-1] [ElevationProcessor] LOCAL mode: assigned 65222/65222 elevations
scenic-worker  | [2026-01-30 18:28:01,584: WARNING/ForkPoolWorker-1]   [Timer] Elevation fetch (LOCAL): 0.84s
scenic-worker  | [2026-01-30 18:28:02,001: WARNING/ForkPoolWorker-1] [ElevationProcessor] Processed 142046 edges (142046 with gradient data) in 0.42s                                            
scenic-worker  | [2026-01-30 18:28:02,001: WARNING/ForkPoolWorker-1]   [Timer] Elevation Processing: 1.25s
scenic-worker  | [2026-01-30 18:28:02,001: WARNING/ForkPoolWorker-1] [GraphBuilder] Normalising cost attributes (DYNAMIC)...                                                                     
scenic-worker  | [2026-01-30 18:28:02,001: WARNING/ForkPoolWorker-1] [Normalisation] Mode: DYNAMIC                                                                                               
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:02] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:28:02,341: WARNING/ForkPoolWorker-1]   raw_green_cost: range [0.000, 1.000] -> norm_green
scenic-worker  | [2026-01-30 18:28:02,965: WARNING/ForkPoolWorker-3]   > Progress: 60% (79854/133098)
scenic-worker  | [2026-01-30 18:28:03,188: WARNING/ForkPoolWorker-1]   noise_factor: range [1.000, 2.000] -> norm_quiet
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   slope_time_cost: range [0.833, 50.000] -> norm_slope
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1] [Normalisation] Normalised 5 attributes across 142046 edges
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   [Timer] Normalisation: 1.51s                                                                                              
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]                                                                                                                             
scenic-worker  | ==================================================
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1] [GraphBuilder] TIMING SUMMARY (oxfordshire)                                                                                 
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1] ==================================================                                                                          
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Graph Loading: 10.86s (14.4%)                                                                                             
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Quietness Processing: 0.15s (0.2%)                                                                                        
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Extract Green Areas: 14.29s (19.0%)                                                                                       
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Greenness Processing (EDGE_SAMPLING): 47.18s (62.7%)
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Scenic Processing (Total): 61.48s (81.7%)                                                                                 
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Elevation Processing (LOCAL): 1.25s (1.7%)                                                                                
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   Normalisation: 1.51s (2.0%)                                                                                               
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1] --------------------------------------------------                                                                          
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1]   TOTAL: 75.26s
scenic-worker  | [2026-01-30 18:28:03,510: WARNING/ForkPoolWorker-1] ==================================================                                                                          
scenic-worker  | [2026-01-30 18:28:03,562: WARNING/ForkPoolWorker-1] [CacheManager] Saving graph to cache: /app/app/data/cache/oxfordshire_edge_sampling_local_bbox_0cb7430d_v1.5.0.pickle...    
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:05] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:28:05,372: WARNING/ForkPoolWorker-1] [CacheManager] Cache saved in 1.81s (111.5 MB)
scenic-worker  | [2026-01-30 18:28:05,376: WARNING/ForkPoolWorker-1] [GraphBuilder] Graph saved to disk cache for region: oxfordshire
scenic-worker  | [2026-01-30 18:28:05,377: INFO/ForkPoolWorker-1] [Task e898b5f4-cbe4-4ce5-8773-59e881a8aa47] Graph build complete for oxfordshire: 65222 nodes, 142046 edges                    
scenic-worker  | [2026-01-30 18:28:05,378: INFO/ForkPoolWorker-1] Task tasks.build_graph[e898b5f4-cbe4-4ce5-8773-59e881a8aa47] succeeded in 77.1292983379999s: {'status': 'complete', 'region_name': 'oxfordshire', 'node_count': 65222, 'edge_count': 142046, 'timings': {'Graph Loading': 10.858600662999379, 'Quietness Processing': 0.1522630380004557, 'Extract Green Areas': 14.287477536999177, 'Greenness Processing (EDGE_SAMPLING)': 47.183151403999545, 'Scenic Processing (Total)': 61.4827145549998, 'Elevation Processing (LOCAL)': 1.2545631969996975, 'Normalisation': 1.5083791110000675, 'TOTAL': 75.25759511399974}, 'pbf_path': '/app/app/data/oxfordshire.osm.pbf', 'total_time': 75.25759511399974}
scenic-worker  | [2026-01-30 18:28:06,109: WARNING/ForkPoolWorker-3]   > Progress: 70% (93163/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:08] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:28:08,977: WARNING/ForkPoolWorker-3]   > Progress: 80% (106472/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:11] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:28:11,425: WARNING/ForkPoolWorker-3]   > Progress: 90% (119781/133098)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:14] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:28:14,558: WARNING/ForkPoolWorker-3]   > Progress: 100% (133090/133098)
scenic-worker  | [2026-01-30 18:28:14,560: WARNING/ForkPoolWorker-3] [Edge Sampling] Processed 133098 edges in 29.85s
scenic-worker  | [2026-01-30 18:28:14,623: WARNING/ForkPoolWorker-3]   > [Edge Sampling] Distribution: min=0.000, max=1.000, mean=0.790                                                          
scenic-worker  | [2026-01-30 18:28:14,623: WARNING/ForkPoolWorker-3]   > [Edge Sampling] Edges with green cost < 0.5: 20862/133098 (15.7%)
scenic-worker  | [2026-01-30 18:28:14,624: WARNING/ForkPoolWorker-3] [ScenicOrchestrator] Water processing disabled.                                                                             
scenic-worker  | [2026-01-30 18:28:14,624: WARNING/ForkPoolWorker-3] [ScenicOrchestrator] Social processing disabled.                                                                            
scenic-worker  | [2026-01-30 18:28:14,636: WARNING/ForkPoolWorker-3] [GraphBuilder] Processing elevation gradients (LOCAL mode)...                                                               
scenic-worker  | [2026-01-30 18:28:14,636: WARNING/ForkPoolWorker-3] [ElevationProcessor] LOCAL mode: fetching elevations for 62001 nodes...                                                     
scenic-worker  | [2026-01-30 18:28:14,659: WARNING/ForkPoolWorker-3] [DEMLoader] Bounding box requires 1 tile(s)
scenic-worker  | [2026-01-30 18:28:14,670: WARNING/ForkPoolWorker-3] [DEMLoader] Tile already exists: Copernicus_DSM_COG_10_N51_00_W003_00_DEM
scenic-worker  | [2026-01-30 18:28:14,703: WARNING/ForkPoolWorker-3] [DEMLoader] Batch lookup: 62001 coords across 1 tile(s)
scenic-worker  | [2026-01-30 18:28:15,396: WARNING/ForkPoolWorker-3] [DEMLoader] Retrieved 62000/62001 elevations
scenic-worker  | [2026-01-30 18:28:15,416: WARNING/ForkPoolWorker-3] [ElevationProcessor] LOCAL mode: assigned 62001/62001 elevations
scenic-worker  | [2026-01-30 18:28:15,419: WARNING/ForkPoolWorker-3]   [Timer] Elevation fetch (LOCAL): 0.78s
scenic-worker  | [2026-01-30 18:28:15,819: WARNING/ForkPoolWorker-3] [ElevationProcessor] Processed 133098 edges (133098 with gradient data) in 0.40s                                            
scenic-worker  | [2026-01-30 18:28:15,819: WARNING/ForkPoolWorker-3]   [Timer] Elevation Processing: 1.18s
scenic-worker  | [2026-01-30 18:28:15,819: WARNING/ForkPoolWorker-3] [GraphBuilder] Normalising cost attributes (DYNAMIC)...                                                                     
scenic-worker  | [2026-01-30 18:28:15,819: WARNING/ForkPoolWorker-3] [Normalisation] Mode: DYNAMIC                                                                                               
scenic-worker  | [2026-01-30 18:28:16,108: WARNING/ForkPoolWorker-3]   raw_green_cost: range [0.000, 1.000] -> norm_green                                                                        
scenic-worker  | [2026-01-30 18:28:16,811: WARNING/ForkPoolWorker-3]   noise_factor: range [1.000, 2.000] -> norm_quiet
scenic-worker  | [2026-01-30 18:28:17,104: WARNING/ForkPoolWorker-3]   slope_time_cost: range [0.833, 50.000] -> norm_slope
scenic-worker  | [2026-01-30 18:28:17,104: WARNING/ForkPoolWorker-3] [Normalisation] Normalised 5 attributes across 133098 edges
scenic-worker  | [2026-01-30 18:28:17,104: WARNING/ForkPoolWorker-3]   [Timer] Normalisation: 1.29s                                                                                              
scenic-worker  | [2026-01-30 18:28:17,104: WARNING/ForkPoolWorker-3]                                                                                                                             
scenic-worker  | ==================================================                                                                                                                              
scenic-worker  | [2026-01-30 18:28:17,104: WARNING/ForkPoolWorker-3] [GraphBuilder] TIMING SUMMARY (somerset)                                                                                    
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3] ==================================================                                                                          
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Graph Loading: 12.82s (17.7%)                                                                                             
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Quietness Processing: 0.14s (0.2%)                                                                                        
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Extract Green Areas: 26.96s (37.3%)                                                                                       
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Greenness Processing (EDGE_SAMPLING): 29.96s (41.4%)
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Scenic Processing (Total): 56.93s (78.7%)                                                                                 
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Elevation Processing (LOCAL): 1.18s (1.6%)                                                                                
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   Normalisation: 1.29s (1.8%)                                                                                               
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3] --------------------------------------------------                                                                          
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3]   TOTAL: 72.36s
scenic-worker  | [2026-01-30 18:28:17,105: WARNING/ForkPoolWorker-3] ==================================================                                                                          
scenic-worker  | [2026-01-30 18:28:17,151: WARNING/ForkPoolWorker-3] [CacheManager] Saving graph to cache: /app/app/data/cache/somerset_edge_sampling_local_bbox_99603911_v1.5.0.pickle...       
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:17] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:28:18,758: WARNING/ForkPoolWorker-3] [CacheManager] Cache saved in 1.61s (97.7 MB)
scenic-worker  | [2026-01-30 18:28:18,763: WARNING/ForkPoolWorker-3] [GraphBuilder] Graph saved to disk cache for region: somerset
scenic-worker  | [2026-01-30 18:28:18,763: INFO/ForkPoolWorker-3] [Task 1bca41ce-b63e-427e-a13a-77b4c9db730b] Graph build complete for somerset: 62001 nodes, 133098 edges                       
scenic-worker  | [2026-01-30 18:28:18,764: INFO/ForkPoolWorker-3] Task tasks.build_graph[1bca41ce-b63e-427e-a13a-77b4c9db730b] succeeded in 74.0198161569997s: {'status': 'complete', 'region_name': 'somerset', 'node_count': 62001, 'edge_count': 133098, 'timings': {'Graph Loading': 12.819311815999754, 'Quietness Processing': 0.13933941399955074, 'Extract Green Areas': 26.960383223999997, 'Greenness Processing (EDGE_SAMPLING)': 29.95502193199991, 'Scenic Processing (Total)': 56.92769130600027, 'Elevation Processing (LOCAL)': 1.1825487649994102, 'Normalisation': 1.2857489259995418, 'TOTAL': 72.35554266000054}, 'pbf_path': '/app/app/data/somerset.osm.pbf', 'total_time': 72.35554266000054}
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:20] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)                                                                                                                    
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:20] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:37] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:37] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)                                                                                                                    
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:28:37] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:04] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:04] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)                                                                                                                    
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:04] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | [Geocode] 'bath abbey' -> (51.3814544, -2.3588659)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:15] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:17] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:17] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)                                                                                                                    
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:17] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | [Geocode] 'ox51bn' -> (51.8181299, -1.2859)                                                                                                                                     
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:30] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [Geocode] 'oxford parkway' -> (51.8037471, -1.275093)                                                                                                                           
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:32] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.8181299, -1.2859) -> (51.8037471, -1.275093)                                                                                                           
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:34] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:34] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.8181299, -1.2859) -> (51.8037471, -1.275093)                                                                                                           
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)                                                                                                              
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:34] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | [API] Route request: (51.8181299, -1.2859) -> (51.8037471, -1.275093)                                                                                                           
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:38] "POST /api/route HTTP/1.1" 202 -                                                                                                          
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:38] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -                                                                       
scenic-api     | [API] Route request: (51.8181299, -1.2859) -> (51.8037471, -1.275093)
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)                                                                                                              
scenic-api     | [OSMDataLoader] Identified best extract: Oxfordshire (oxfordshire)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/oxfordshire.osm.pbf
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:29:39] "POST /api/route HTTP/1.1" 202 -     
